Name,Type,AWD,RWD,Retail Price,Dealer Cost,Engine Size (l),Cyl,Horsepower(HP),City Miles Per Gallon,Highway Miles Per Gallon,Weight,Wheel Base,Len,Width
Kia Spectra GS 4dr hatch,Sedan,0,0,13580.0,12830.0,1.8,4.0,124.0,24.0,32.0,2686.0,101.0,178.0,68.0
Kia Spectra GSX 4dr hatch,Sedan,0,0,14630.0,13790.0,1.8,4.0,124.0,24.0,32.0,2697.0,101.0,178.0,68.0
Land Rover Discovery SE,SUV,1,0,39250.0,35777.0,4.6,8.0,217.0,12.0,16.0,4576.0,100.0,185.0,74.0
Land Rover Freelander SE,SUV,1,0,25995.0,23969.0,2.5,6.0,174.0,18.0,21.0,3577.0,101.0,175.0,71.0
Land Rover Range Rover HSE,SUV,1,0,72250.0,65807.0,4.4,8.0,282.0,12.0,16.0,5379.0,113.0,195.0,76.0
Lexus ES 330 4dr,Sedan,0,0,32350.0,28755.0,3.3,6.0,225.0,20.0,29.0,3460.0,107.0,191.0,71.0
Lexus GS 300 4dr,Sedan,0,1,41010.0,36196.0,3.0,6.0,220.0,18.0,25.0,3649.0,110.0,189.0,71.0
Lexus GS 430 4dr,Sedan,0,1,48450.0,42232.0,4.3,8.0,300.0,18.0,23.0,3715.0,110.0,189.0,71.0
Lexus GX 470,SUV,1,0,45700.0,39838.0,4.7,8.0,235.0,15.0,19.0,4740.0,110.0,188.0,74.0
Lexus IS 300 4dr auto,Sedan,0,1,32415.0,28611.0,3.0,6.0,215.0,18.0,24.0,3285.0,105.0,177.0,68.0
Lexus IS 300 4dr manual,Sedan,0,1,31045.0,27404.0,3.0,6.0,215.0,18.0,25.0,3255.0,105.0,177.0,68.0
Lexus IS 300 SportCross,Wagon,0,1,32455.0,28647.0,3.0,6.0,215.0,18.0,24.0,3410.0,105.0,177.0,68.0
Lexus LS 430 4dr,Sedan,0,1,55750.0,48583.0,4.3,8.0,290.0,18.0,25.0,3990.0,115.0,197.0,72.0
Lexus LX 470,SUV,1,0,64800.0,56455.0,4.7,8.0,235.0,13.0,17.0,5590.0,112.0,193.0,76.0
Lexus RX 330,SUV,1,0,39195.0,34576.0,3.3,6.0,230.0,18.0,24.0,4065.0,107.0,186.0,73.0
Lexus SC 430 convertible 2dr,Sports Car,0,1,63200.0,55063.0,4.3,8.0,300.0,18.0,23.0,3840.0,103.0,178.0,72.0
Lincoln Aviator Ultimate,SUV,0,0,42915.0,39443.0,4.6,8.0,302.0,13.0,18.0,4834.0,114.0,193.0,76.0
Lincoln LS V6 Luxury 4dr,Sedan,0,1,32495.0,29969.0,3.0,6.0,232.0,20.0,26.0,3681.0,115.0,194.0,73.0
Lincoln LS V6 Premium 4dr,Sedan,0,1,36895.0,33929.0,3.0,6.0,232.0,20.0,26.0,3681.0,115.0,194.0,73.0
Lincoln LS V8 Sport 4dr,Sedan,0,1,40095.0,36809.0,3.9,8.0,280.0,17.0,24.0,3768.0,115.0,194.0,73.0
Lincoln LS V8 Ultimate 4dr,Sedan,0,1,43495.0,39869.0,3.9,8.0,280.0,17.0,24.0,3768.0,115.0,194.0,73.0
Lincoln Navigator Luxury,SUV,1,0,52775.0,46360.0,5.4,8.0,300.0,13.0,18.0,5969.0,119.0,206.0,80.0
Lincoln Town Car Signature 4dr,Sedan,0,1,41815.0,38418.0,4.6,8.0,239.0,17.0,25.0,4369.0,118.0,215.0,78.0
Lincoln Town Car Ultimate 4dr,Sedan,0,1,44925.0,41217.0,4.6,8.0,239.0,17.0,25.0,4369.0,118.0,215.0,78.0
Lincoln Town Car Ultimate L 4dr,Sedan,0,1,50470.0,46208.0,4.6,8.0,239.0,17.0,25.0,4474.0,124.0,221.0,78.0
Mazda MPV ES,Minivan,0,0,28750.0,26600.0,3.0,6.0,200.0,18.0,25.0,3812.0,112.0,188.0,72.0
Mazda MX-5 Miata convertible 2dr,Sports Car,0,1,22388.0,20701.0,1.8,4.0,142.0,23.0,28.0,2387.0,89.0,156.0,66.0
Mazda MX-5 Miata LS convertible 2dr,Sports Car,0,1,25193.0,23285.0,1.8,4.0,142.0,23.0,28.0,2387.0,89.0,156.0,66.0
Mazda Tribute DX 2.0,SUV,1,0,21087.0,19742.0,2.0,4.0,130.0,22.0,25.0,3091.0,103.0,173.0,72.0
Mazda6 i 4dr,Sedan,0,0,19270.0,17817.0,2.3,4.0,160.0,24.0,32.0,3042.0,105.0,187.0,70.0
Mercedes-Benz C230 Sport 2dr,Sedan,0,1,26060.0,24249.0,1.8,4.0,189.0,22.0,30.0,3250.0,107.0,178.0,68.0
Mercedes-Benz C240,Wagon,0,1,33780.0,31466.0,2.6,6.0,168.0,19.0,25.0,3470.0,107.0,179.0,68.0
Mercedes-Benz C240 4dr,Sedan,0,1,32280.0,30071.0,2.6,6.0,168.0,20.0,25.0,3360.0,107.0,178.0,68.0
Mercedes-Benz C240 4dr,Sedan,1,0,33480.0,31187.0,2.6,6.0,168.0,19.0,25.0,3360.0,107.0,178.0,68.0
Mercedes-Benz C32 AMG 4dr,Sedan,0,1,52120.0,48522.0,3.2,6.0,349.0,16.0,21.0,3540.0,107.0,178.0,68.0
Mercedes-Benz C320 4dr,Sedan,0,1,37630.0,35046.0,3.2,9.0,215.0,20.0,26.0,3450.0,107.0,178.0,68.0
Mercedes-Benz C320 Sport 2dr,Sedan,0,1,28370.0,26435.0,3.2,6.0,215.0,19.0,26.0,3430.0,107.0,178.0,68.0
Mercedes-Benz C320 Sport 4dr,Sedan,0,1,35920.0,33456.0,3.2,6.0,215.0,19.0,26.0,3430.0,107.0,178.0,68.0
Mercedes-Benz CL500 2dr,Sedan,0,1,94820.0,88324.0,5.0,8.0,302.0,16.0,24.0,4085.0,114.0,196.0,73.0
Mercedes-Benz CL600 2dr,Sedan,0,1,128420.0,119600.0,5.5,12.0,493.0,13.0,19.0,4473.0,114.0,196.0,73.0
Mercedes-Benz CLK320 coupe 2dr (convertible),Sedan,0,1,45707.0,41966.0,3.2,6.0,215.0,20.0,26.0,3770.0,107.0,183.0,69.0
Mercedes-Benz CLK500 coupe 2dr (convertible),Sedan,0,1,52800.0,49104.0,5.0,8.0,302.0,17.0,22.0,3585.0,107.0,183.0,69.0
Mercedes-Benz E320,Wagon,0,1,50670.0,47174.0,3.2,6.0,221.0,19.0,27.0,3966.0,112.0,190.0,71.0
Mercedes-Benz E320 4dr,Sedan,0,1,48170.0,44849.0,3.2,6.0,221.0,19.0,27.0,3635.0,112.0,190.0,71.0
Mercedes-Benz E500,Wagon,1,0,60670.0,56474.0,5.0,8.0,302.0,16.0,24.0,4230.0,112.0,190.0,71.0
Mercedes-Benz E500 4dr,Sedan,0,1,57270.0,53382.0,5.0,8.0,302.0,16.0,20.0,3815.0,112.0,190.0,71.0
Mercedes-Benz G500,SUV,1,0,76870.0,71540.0,5.0,8.0,292.0,13.0,14.0,5423.0,112.0,186.0,71.0
Mercedes-Benz ML500,SUV,1,0,46470.0,43268.0,5.0,8.0,288.0,14.0,17.0,4874.0,111.0,183.0,72.0
Mercedes-Benz S430 4dr,Sedan,0,1,74320.0,69168.0,4.3,8.0,275.0,18.0,26.0,4160.0,122.0,203.0,73.0
Mercedes-Benz S500 4dr,Sedan,1,0,86970.0,80939.0,5.0,8.0,302.0,16.0,24.0,4390.0,122.0,203.0,73.0
Mercedes-Benz SL500 convertible 2dr,Sports Car,0,1,90520.0,84325.0,5.0,8.0,302.0,16.0,23.0,4065.0,101.0,179.0,72.0
Mercedes-Benz SL55 AMG 2dr,Sports Car,0,1,121770.0,113388.0,5.5,8.0,493.0,14.0,21.0,4235.0,101.0,179.0,72.0
Mercedes-Benz SL600 convertible 2dr,Sports Car,0,1,126670.0,117854.0,5.5,12.0,493.0,13.0,19.0,4429.0,101.0,179.0,72.0
Mercedes-Benz SLK230 convertible 2dr,Sports Car,0,1,40320.0,37548.0,2.3,4.0,192.0,21.0,29.0,3055.0,95.0,158.0,68.0
Mercedes-Benz SLK32 AMG 2dr,Sports Car,0,1,56170.0,52289.0,3.2,6.0,349.0,17.0,22.0,3220.0,95.0,158.0,68.0
Mercury Grand Marquis GS 4dr,Sedan,0,1,24695.0,23217.0,4.6,8.0,224.0,17.0,25.0,4052.0,115.0,212.0,78.0
Mercury Grand Marquis LS Premium 4dr,Sedan,0,1,29595.0,27148.0,4.6,8.0,224.0,17.0,25.0,4052.0,115.0,212.0,78.0
Mercury Grand Marquis LS Ultimate 4dr,Sedan,0,1,30895.0,28318.0,4.6,8.0,224.0,17.0,25.0,4052.0,115.0,212.0,78.0
Mercury Marauder 4dr,Sedan,0,1,34495.0,31558.0,4.6,8.0,302.0,17.0,23.0,4195.0,115.0,212.0,78.0
Mercury Monterey Luxury,Minivan,0,0,33995.0,30846.0,4.2,6.0,201.0,16.0,23.0,4340.0,121.0,202.0,77.0
Mercury Mountaineer,SUV,0,0,29995.0,27317.0,4.0,6.0,210.0,16.0,21.0,4374.0,114.0,190.0,72.0
Mercury Sable GS,Wagon,0,0,22595.0,20748.0,3.0,6.0,155.0,19.0,26.0,3488.0,109.0,198.0,73.0
Mercury Sable GS 4dr,Sedan,0,0,21595.0,19848.0,3.0,6.0,155.0,20.0,27.0,3308.0,109.0,200.0,73.0
Mercury Sable LS Premium 4dr,Sedan,0,0,23895.0,21918.0,3.0,6.0,201.0,19.0,26.0,3315.0,109.0,200.0,73.0
Mini Cooper,Sedan,0,0,16999.0,15437.0,1.6,4.0,115.0,28.0,37.0,2524.0,97.0,143.0,67.0
Mini Cooper S,Sedan,0,0,19999.0,18137.0,1.6,4.0,163.0,25.0,34.0,2678.0,97.0,144.0,67.0
Mitsubishi Diamante LS 4dr,Sedan,0,0,29282.0,27250.0,3.5,6.0,205.0,18.0,25.0,3549.0,107.0,194.0,70.0
Mitsubishi Eclipse GTS 2dr,Sports Car,0,0,25092.0,23456.0,3.0,6.0,210.0,21.0,28.0,3241.0,101.0,177.0,69.0
Mitsubishi Eclipse Spyder GT convertible 2dr,Sports Car,0,0,26992.0,25218.0,3.0,6.0,210.0,21.0,28.0,3296.0,101.0,177.0,69.0
Mitsubishi Endeavor XLS,SUV,1,0,30492.0,28330.0,3.8,6.0,215.0,17.0,21.0,4134.0,109.0,190.0,74.0
Mitsubishi Galant GTS 4dr,Sedan,0,0,25700.0,23883.0,3.8,6.0,230.0,18.0,26.0,3649.0,108.0,191.0,72.0
Mitsubishi Lancer Evolution 4dr,Sports Car,0,0,29562.0,27466.0,2.0,4.0,271.0,18.0,26.0,3263.0,103.0,179.0,70.0
Mitsubishi Montero XLS,SUV,1,0,33112.0,30763.0,3.8,6.0,215.0,15.0,19.0,4718.0,110.0,190.0,75.0
Mitsubishi Outlander LS,SUV,0,0,18892.0,17569.0,2.4,4.0,160.0,21.0,27.0,3240.0,103.0,179.0,69.0
Nissan 350Z coupe 2dr,Sports Car,0,1,26910.0,25203.0,3.5,6.0,287.0,20.0,26.0,3188.0,104.0,169.0,72.0
Nissan 350Z Enthusiast convertible 2dr,Sports Car,0,1,34390.0,31845.0,3.5,6.0,287.0,20.0,26.0,3428.0,104.0,169.0,72.0
Nissan Altima S 4dr,Sedan,0,0,19240.0,18030.0,2.5,4.0,175.0,21.0,26.0,3039.0,110.0,192.0,70.0
Nissan Altima SE 4dr,Sedan,0,0,23290.0,21580.0,3.5,6.0,245.0,21.0,26.0,3197.0,110.0,192.0,70.0
Nissan Maxima SE 4dr,Sedan,0,0,27490.0,25182.0,3.5,6.0,265.0,20.0,28.0,3473.0,111.0,194.0,72.0
Nissan Maxima SL 4dr,Sedan,0,0,29440.0,26966.0,3.5,6.0,265.0,20.0,28.0,3476.0,111.0,194.0,72.0
Nissan Murano SL,Wagon,0,1,28739.0,27300.0,3.5,6.0,245.0,20.0,25.0,3801.0,111.0,188.0,74.0
Nissan Pathfinder Armada SE,SUV,0,0,33840.0,30815.0,5.6,8.0,305.0,13.0,19.0,5013.0,123.0,207.0,79.0
Nissan Pathfinder SE,SUV,0,0,27339.0,25972.0,3.5,6.0,240.0,16.0,21.0,3871.0,106.0,183.0,72.0
Nissan Quest S,Minivan,0,0,24780.0,22958.0,3.5,6.0,240.0,19.0,26.0,4012.0,124.0,204.0,78.0
Nissan Quest SE,Minivan,0,0,32780.0,30019.0,3.5,6.0,240.0,18.0,25.0,4175.0,124.0,204.0,78.0
Nissan Sentra 1.8 4dr,Sedan,0,0,12740.0,12205.0,1.8,4.0,126.0,28.0,35.0,2513.0,100.0,178.0,67.0
Nissan Sentra 1.8 S 4dr,Sedan,0,0,14740.0,13747.0,1.8,4.0,126.0,28.0,35.0,2581.0,100.0,178.0,67.0
Nissan Sentra SE-R 4dr,Sedan,0,0,17640.0,16444.0,2.5,4.0,165.0,23.0,28.0,2761.0,100.0,178.0,67.0
Nissan Xterra XE V6,SUV,0,0,20939.0,19512.0,3.3,6.0,180.0,17.0,20.0,3760.0,104.0,178.0,70.0
Oldsmobile Alero GLS 2dr,Sedan,0,0,23675.0,21485.0,3.4,6.0,170.0,20.0,29.0,3085.0,107.0,187.0,70.0
Oldsmobile Alero GX 2dr,Sedan,0,0,18825.0,17642.0,2.2,4.0,140.0,24.0,32.0,2946.0,107.0,187.0,70.0
Oldsmobile Silhouette GL,Minivan,0,0,28790.0,26120.0,3.4,6.0,185.0,19.0,26.0,3948.0,120.0,201.0,72.0
Pontiac Aztekt,SUV,0,0,21595.0,19810.0,3.4,6.0,185.0,19.0,26.0,3779.0,108.0,182.0,74.0
Pontiac Grand Am GT 2dr,Sedan,0,0,22450.0,20595.0,3.4,6.0,175.0,20.0,29.0,3118.0,107.0,186.0,70.0
Pontiac Grand Prix GT1 4dr,Sedan,0,0,22395.0,20545.0,3.8,6.0,200.0,20.0,30.0,3477.0,111.0,198.0,74.0
Pontiac Grand Prix GT2 4dr,Sedan,0,0,24295.0,22284.0,3.8,6.0,200.0,20.0,30.0,3484.0,111.0,198.0,74.0
Pontiac Montana,Minivan,0,0,23845.0,21644.0,3.4,6.0,185.0,19.0,26.0,3803.0,112.0,187.0,72.0
Pontiac Montana EWB,Minivan,1,0,31370.0,28454.0,3.4,6.0,185.0,18.0,24.0,4431.0,121.0,201.0,72.0
Pontiac Sunfire 1SA 2dr,Sedan,0,0,15495.0,14375.0,2.2,4.0,140.0,24.0,33.0,2771.0,104.0,182.0,68.0
Pontiac Sunfire 1SC 2dr,Sedan,0,0,17735.0,16369.0,2.2,4.0,140.0,24.0,33.0,2771.0,104.0,182.0,68.0
Pontiac Vibe,Wagon,0,1,17045.0,15973.0,1.8,4.0,130.0,29.0,36.0,2701.0,102.0,172.0,70.0
Porsche 911 Carrera 4S coupe 2dr (convert),Sports Car,1,0,84165.0,72206.0,3.6,6.0,315.0,17.0,24.0,3240.0,93.0,175.0,72.0
Porsche 911 Carrera convertible 2dr (coupe),Sports Car,0,1,79165.0,69229.0,3.6,6.0,315.0,18.0,26.0,3135.0,93.0,175.0,70.0
Porsche 911 GT2 2dr,Sports Car,0,1,192465.0,173560.0,3.6,6.0,477.0,17.0,24.0,3131.0,93.0,175.0,72.0
Porsche 911 Targa coupe 2dr,Sports Car,0,1,76765.0,67128.0,3.6,6.0,315.0,18.0,26.0,3119.0,93.0,175.0,70.0
Porsche Boxster convertible 2dr,Sports Car,0,1,43365.0,37886.0,2.7,6.0,228.0,20.0,29.0,2811.0,95.0,170.0,70.0
Porsche Boxster S convertible 2dr,Sports Car,0,1,52365.0,45766.0,3.2,6.0,258.0,18.0,26.0,2911.0,95.0,170.0,70.0
Porsche Cayenne S,SUV,1,0,56665.0,49865.0,4.5,8.0,340.0,14.0,18.0,4950.0,112.0,188.0,76.0
Saab 9-3 Aero 4dr,Sedan,0,0,33360.0,31562.0,2.0,4.0,210.0,20.0,28.0,3175.0,105.0,183.0,69.0
Saab 9-3 Aero convertible 2dr,Sedan,0,0,43175.0,40883.0,2.0,4.0,210.0,21.0,30.0,3700.0,105.0,182.0,69.0
Saab 9-3 Arc convertible 2dr,Sedan,0,0,40670.0,38520.0,2.0,4.0,210.0,21.0,29.0,3480.0,105.0,182.0,69.0
Saab 9-3 Arc Sport 4dr,Sedan,0,0,30860.0,29269.0,2.0,4.0,210.0,20.0,28.0,3175.0,105.0,183.0,69.0
Saab 9-5 Aero,Wagon,0,0,40845.0,38376.0,2.3,4.0,250.0,19.0,29.0,3620.0,106.0,190.0,71.0
Saab 9-5 Aero 4dr,Sedan,0,0,39465.0,37721.0,2.3,4.0,250.0,21.0,29.0,3470.0,106.0,190.0,71.0
Saab 9-5 Arc 4dr,Sedan,0,0,35105.0,33011.0,2.3,4.0,220.0,21.0,29.0,3470.0,106.0,190.0,71.0
Saturn Ion1 4dr,Sedan,0,0,10995.0,10319.0,2.2,4.0,140.0,26.0,35.0,2692.0,103.0,185.0,67.0
Saturn L300 2,Wagon,0,0,23560.0,21779.0,2.2,4.0,140.0,24.0,34.0,3109.0,107.0,190.0,69.0
Saturn L300-2 4dr,Sedan,0,0,21410.0,19801.0,3.0,6.0,182.0,20.0,28.0,3197.0,107.0,190.0,69.0
Saturn lon2 4dr,Sedan,0,0,14300.0,13393.0,2.2,4.0,140.0,26.0,35.0,2692.0,103.0,185.0,67.0
Saturn lon2 quad coupe 2dr,Sedan,0,0,14850.0,13904.0,2.2,4.0,140.0,26.0,35.0,2751.0,103.0,185.0,68.0
Saturn lon3 4dr,Sedan,0,0,15825.0,14811.0,2.2,4.0,140.0,26.0,35.0,2692.0,103.0,185.0,67.0
Saturn lon3 quad coupe 2dr,Sedan,0,0,16350.0,15299.0,2.2,4.0,140.0,26.0,35.0,2751.0,103.0,185.0,68.0
Saturn VUE,SUV,1,0,20585.0,19238.0,2.2,4.0,143.0,21.0,26.0,3381.0,107.0,181.0,72.0
Scion xA 4dr hatch,Sedan,0,0,12965.0,12340.0,1.5,4.0,108.0,32.0,38.0,2340.0,93.0,154.0,67.0
Scion xB,Wagon,0,0,14165.0,13480.0,1.5,4.0,108.0,31.0,35.0,2425.0,98.0,155.0,67.0
Subaru Forester X,Wagon,1,0,21445.0,19646.0,2.5,4.0,165.0,21.0,28.0,3090.0,99.0,175.0,68.0
Subaru Impreza 2.5 RS 4dr,Sedan,1,0,19945.0,18399.0,2.5,4.0,165.0,22.0,28.0,2965.0,99.0,174.0,69.0
Subaru Impreza WRX 4dr,Sports Car,1,0,25045.0,23022.0,2.0,4.0,227.0,20.0,27.0,3085.0,99.0,174.0,69.0
Subaru Impreza WRX STi 4dr,Sports Car,1,0,31545.0,29130.0,2.5,4.0,300.0,18.0,24.0,3263.0,100.0,174.0,69.0
Subaru Legacy GT 4dr,Sedan,1,0,25645.0,23336.0,2.5,4.0,165.0,21.0,28.0,3395.0,104.0,184.0,69.0
Subaru Legacy L 4dr,Sedan,1,0,20445.0,18713.0,2.5,4.0,165.0,21.0,28.0,3285.0,104.0,184.0,69.0
Subaru Outback,Wagon,1,0,23895.0,21773.0,2.5,4.0,165.0,21.0,28.0,3430.0,104.0,187.0,69.0
Subaru Outback H6 4dr,Sedan,1,0,29345.0,26660.0,3.0,6.0,212.0,19.0,26.0,3610.0,104.0,184.0,69.0
Subaru Outback H-6 VDC 4dr,Sedan,1,0,31545.0,28603.0,3.0,6.0,212.0,19.0,26.0,3630.0,104.0,184.0,69.0
Subaru Outback Limited Sedan 4dr,Sedan,1,0,27145.0,24687.0,2.5,4.0,165.0,20.0,27.0,3495.0,104.0,184.0,69.0
Suzuki Aeno S 4dr,Sedan,0,0,12884.0,12719.0,2.3,4.0,155.0,25.0,31.0,2676.0,98.0,171.0,68.0
Suzuki Aerio LX 4dr,Sedan,0,0,14500.0,14317.0,2.3,4.0,155.0,25.0,31.0,2676.0,98.0,171.0,68.0
Suzuki Aerio SX,Wagon,1,0,16497.0,16291.0,2.3,4.0,155.0,24.0,29.0,2932.0,98.0,167.0,68.0
Suzuki Forenza EX 4dr,Sedan,0,0,15568.0,15378.0,2.0,4.0,119.0,22.0,30.0,2756.0,102.0,177.0,68.0
Suzuki Forenza S 4dr,Sedan,0,0,12269.0,12116.0,2.0,4.0,119.0,24.0,31.0,2701.0,102.0,177.0,68.0
Suzuki Verona LX 4dr,Sedan,0,0,17262.0,17053.0,2.5,6.0,155.0,20.0,27.0,3380.0,106.0,188.0,72.0
Suzuki Vitara LX,SUV,1,0,17163.0,16949.0,2.5,6.0,165.0,19.0,22.0,3020.0,98.0,163.0,67.0
Suzuki XL-7 EX,SUV,0,0,23699.0,22307.0,2.7,6.0,185.0,18.0,22.0,3682.0,110.0,187.0,70.0
Toyota 4Runner SR5 V6,SUV,0,0,27710.0,24801.0,4.0,6.0,245.0,18.0,21.0,4035.0,110.0,189.0,74.0
Toyota Avalon XL 4dr,Sedan,0,0,26560.0,23693.0,3.0,6.0,210.0,21.0,29.0,3417.0,107.0,192.0,72.0
Toyota Avalon XLS 4dr,Sedan,0,0,30920.0,27271.0,3.0,6.0,210.0,21.0,29.0,3439.0,107.0,192.0,72.0
Toyota Camry LE 4dr,Sedan,0,0,19560.0,17558.0,2.4,4.0,157.0,24.0,33.0,3086.0,107.0,189.0,71.0
Toyota Camry LE V6 4dr,Sedan,0,0,22775.0,20325.0,3.0,6.0,210.0,21.0,29.0,3296.0,107.0,189.0,71.0
Toyota Camry Solara SE 2dr,Sedan,0,0,19635.0,17722.0,2.4,4.0,157.0,24.0,33.0,3175.0,107.0,193.0,72.0
Toyota Camry Solara SE V6 2dr,Sedan,0,0,21965.0,19819.0,3.3,6.0,225.0,20.0,29.0,3417.0,107.0,193.0,72.0
Toyota Camry Solara SLE V6 2dr,Sedan,0,0,26510.0,23908.0,3.3,6.0,225.0,20.0,29.0,3439.0,107.0,193.0,72.0
Toyota Camry XLE V6 4dr,Sedan,0,0,25920.0,23125.0,3.0,6.0,210.0,21.0,29.0,3362.0,107.0,189.0,71.0
Toyota Celica GT-S 2dr,Sports Car,0,0,22570.0,20363.0,1.8,4.0,180.0,24.0,33.0,2500.0,102.0,171.0,68.0
Toyota Corolla CE 4dr,Sedan,0,0,14085.0,13065.0,1.8,4.0,130.0,32.0,40.0,2502.0,102.0,178.0,67.0
Toyota Corolla LE 4dr,Sedan,0,0,15295.0,13889.0,1.8,4.0,130.0,32.0,40.0,2524.0,102.0,178.0,67.0
Toyota Corolla S 4dr,Sedan,0,0,15030.0,13650.0,1.8,4.0,130.0,32.0,40.0,2524.0,102.0,178.0,67.0
Toyota Echo 2dr auto,Sedan,0,0,11560.0,10896.0,1.5,4.0,108.0,33.0,39.0,2085.0,93.0,163.0,65.0
Toyota Echo 2dr manual,Sedan,0,0,10760.0,10144.0,1.5,4.0,108.0,35.0,43.0,2035.0,93.0,163.0,65.0
Toyota Echo 4dr,Sedan,0,0,11290.0,10642.0,1.5,4.0,108.0,35.0,43.0,2055.0,93.0,163.0,65.0
Toyota Highlander V6,SUV,1,0,27930.0,24915.0,3.3,6.0,230.0,18.0,24.0,3935.0,107.0,185.0,72.0
Toyota Land Cruiser,SUV,1,0,54765.0,47986.0,4.7,8.0,325.0,13.0,17.0,5390.0,112.0,193.0,76.0
Toyota Matrix XR,Wagon,0,0,16695.0,15156.0,1.8,4.0,130.0,29.0,36.0,2679.0,102.0,171.0,70.0
Toyota MR2 Spyder convertible 2dr,Sports Car,0,1,25130.0,22787.0,1.8,4.0,138.0,26.0,32.0,2195.0,97.0,153.0,67.0
Toyota Prius 4dr (gas/electric),Sedan,0,0,20510.0,18926.0,1.5,4.0,110.0,59.0,51.0,2890.0,106.0,175.0,68.0
Toyota RAV4,SUV,1,0,20290.0,18553.0,2.4,4.0,161.0,22.0,27.0,3119.0,98.0,167.0,68.0
Toyota Sequoia SR5,SUV,1,0,35695.0,31827.0,4.7,8.0,240.0,14.0,17.0,5270.0,118.0,204.0,78.0
Toyota Sienna CE,Minivan,0,0,23495.0,21198.0,3.3,6.0,230.0,19.0,27.0,4120.0,119.0,200.0,77.0
Toyota Sienna XLE Limited,Minivan,0,0,28800.0,25690.0,3.3,6.0,230.0,19.0,27.0,4165.0,119.0,200.0,77.0
Volkswagen Golf GLS 4dr,Sedan,0,0,18715.0,17478.0,2.0,4.0,115.0,24.0,31.0,2897.0,99.0,165.0,68.0
Volkswagen GTI 1.8T 2dr hatch,Sedan,0,0,19825.0,18109.0,1.8,4.0,180.0,24.0,31.0,2934.0,99.0,168.0,68.0
Volkswagen Jetta GL,Wagon,0,0,19005.0,17427.0,2.0,4.0,115.0,24.0,30.0,3034.0,99.0,174.0,68.0
Volkswagen Jetta GLI VR6 4dr,Sedan,0,0,23785.0,21686.0,2.8,6.0,200.0,21.0,30.0,3179.0,99.0,172.0,68.0
Volkswagen Jetta GLS TDI 4dr,Sedan,0,0,21055.0,19638.0,1.9,4.0,100.0,38.0,46.0,3003.0,99.0,172.0,68.0
Volkswagen New Beetle GLS 1.8T 2dr,Sedan,0,0,21055.0,19638.0,1.8,4.0,150.0,24.0,31.0,2820.0,99.0,161.0,68.0
Volkswagen New Beetle GLS convertible 2dr,Sedan,0,0,23215.0,21689.0,2.0,4.0,115.0,24.0,30.0,3082.0,99.0,161.0,68.0
Volkswagen Passat GLS 1.8T,Wagon,0,0,24955.0,22801.0,1.8,4.0,170.0,22.0,31.0,3338.0,106.0,184.0,69.0
Volkswagen Passat GLS 4dr,Sedan,0,0,23955.0,21898.0,1.8,4.0,170.0,22.0,31.0,3241.0,106.0,185.0,69.0
Volkswagen Passat GLX V6 4MOTION 4dr,Sedan,0,0,33180.0,30583.0,2.8,6.0,190.0,19.0,26.0,3721.0,106.0,185.0,69.0
Volkswagen Passat W8,Wagon,0,0,40235.0,36956.0,4.0,8.0,270.0,18.0,25.0,4067.0,106.0,184.0,69.0
Volkswagen Passat W8 4MOTION 4dr,Sedan,0,0,39235.0,36052.0,4.0,8.0,270.0,18.0,25.0,3953.0,106.0,185.0,69.0
Volkswagen Touareg V6,SUV,1,0,35515.0,32243.0,3.2,6.0,220.0,15.0,20.0,5086.0,112.0,187.0,76.0
Volvo C70 HPT convertible 2dr,Sedan,0,0,42565.0,40083.0,2.3,5.0,242.0,20.0,26.0,3450.0,105.0,186.0,72.0
Volvo C70 LPT convertible 2dr,Sedan,0,0,40565.0,38203.0,2.4,5.0,197.0,21.0,28.0,3450.0,105.0,186.0,72.0
Volvo S40 4dr,Sedan,0,0,25135.0,23701.0,1.9,4.0,170.0,22.0,29.0,2767.0,101.0,178.0,68.0
Volvo S60 2.5 4dr,Sedan,1,0,31745.0,29916.0,2.5,5.0,208.0,20.0,27.0,3903.0,107.0,180.0,71.0
Volvo S60 R 4dr,Sedan,1,0,37560.0,35382.0,2.5,5.0,300.0,18.0,25.0,3571.0,107.0,181.0,71.0
Volvo S60 T5 4dr,Sedan,0,0,34845.0,32902.0,2.3,5.0,247.0,20.0,28.0,3766.0,107.0,180.0,71.0
Volvo S80 2.5T 4dr,Sedan,1,0,37885.0,35688.0,2.5,5.0,194.0,20.0,27.0,3691.0,110.0,190.0,72.0
Volvo S80 2.9 4dr,Sedan,0,0,37730.0,35542.0,2.9,6.0,208.0,20.0,28.0,3576.0,110.0,190.0,72.0
Volvo S80 T6 4dr,Sedan,0,0,45210.0,42573.0,2.9,6.0,268.0,19.0,26.0,3653.0,110.0,190.0,72.0
Volvo V40,Wagon,0,0,26135.0,24641.0,1.9,4.0,170.0,22.0,29.0,2822.0,101.0,180.0,68.0
Volvo XC70,Wagon,1,0,35145.0,33112.0,2.5,5.0,208.0,20.0,27.0,3823.0,109.0,186.0,73.0
Volvo XC90 T6,SUV,1,0,41250.0,38851.0,2.9,6.0,268.0,15.0,20.0,4638.0,113.0,189.0,75.0
